Tag Code,Report Season,Location,latitude,longitude
011YM,2001,El Rosario,30.0595,115.7258
025SP,2001,El Rosario,30.0595,115.7258
139PR,2001,El Rosario,30.0595,115.7258
151TI,2001,El Rosario,30.0595,115.7258
185KW,2001,El Rosario,30.0595,115.7258
222YL,2001,El Rosario,30.0595,115.7258
262ZA,2001,El Rosario,30.0595,115.7258
263TG,2001,El Rosario,30.0595,115.7258
274XF,2001,El Rosario,30.0595,115.7258
300TT,2001,El Rosario,30.0595,115.7258
301SW,2001,El Rosario,30.0595,115.7258
318KC,2001,El Rosario,30.0595,115.7258
338SW,2001,El Rosario,30.0595,115.7258
343ZT,2001,El Rosario,30.0595,115.7258
403ZX,2001,El Rosario,30.0595,115.7258
410ZX,2001,El Rosario,30.0595,115.7258
467TF,2001,El Rosario,30.0595,115.7258
536OQ,2001,El Rosario,30.0595,115.7258
582MU,2001,El Rosario,30.0595,115.7258
585XA,2001,El Rosario,30.0595,115.7258
612HY,2001,El Rosario,30.0595,115.7258
621YG,2001,El Rosario,30.0595,115.7258
633MY,2001,El Rosario,30.0595,115.7258
646PP,2001,El Rosario,30.0595,115.7258
830ZM,2001,El Rosario,30.0595,115.7258
831IW,2001,El Rosario,30.0595,115.7258
873TF,2001,El Rosario,30.0595,115.7258
874MY,2001,El Rosario,30.0595,115.7258
966IH,2001,El Rosario,30.0595,115.7258
985JL,2001,El Rosario,30.0595,115.7258
AAD255,2001,El Rosario,30.0595,115.7258
AAD267,2001,El Rosario,30.0595,115.7258
AAD296,2001,El Rosario,30.0595,115.7258
AAD300,2001,El Rosario,30.0595,115.7258
AAD362,2001,El Rosario,30.0595,115.7258
AAD929,2001,El Rosario,30.0595,115.7258
AAH485,2001,El Rosario,30.0595,115.7258
AAH585,2001,El Rosario,30.0595,115.7258
AAH634,2001,El Rosario,30.0595,115.7258
AAH988,2001,El Rosario,30.0595,115.7258
AAI039,2001,El Rosario,30.0595,115.7258
AAI814,2001,El Rosario,30.0595,115.7258
AAI898,2001,El Rosario,30.0595,115.7258
AAJ470,2001,El Rosario,30.0595,115.7258
AAJ592,2001,El Rosario,30.0595,115.7258
AAK352,2001,El Rosario,30.0595,115.7258
AAN142,2001,El Rosario,30.0595,115.7258
AAR567,2001,El Rosario,30.0595,115.7258
AAR584,2001,El Rosario,30.0595,115.7258
AAR589,2001,El Rosario,30.0595,115.7258
AAR744,2001,El Rosario,30.0595,115.7258
AAR862,2001,El Rosario,30.0595,115.7258
AAS029,2001,El Rosario,30.0595,115.7258
AAS041,2001,El Rosario,30.0595,115.7258
AAS072,2001,El Rosario,30.0595,115.7258
AAS129,2001,El Rosario,30.0595,115.7258
AAS321,2001,El Rosario,30.0595,115.7258
AAS333,2001,El Rosario,30.0595,115.7258
AAS449,2001,El Rosario,30.0595,115.7258
AAS457,2001,El Rosario,30.0595,115.7258
AAS549,2001,El Rosario,30.0595,115.7258
AAS632,2001,El Rosario,30.0595,115.7258
AAU820,2001,El Rosario,30.0595,115.7258
AAX153,2001,El Rosario,30.0595,115.7258
AAY137,2001,El Rosario,30.0595,115.7258
ABA822,2001,El Rosario,30.0595,115.7258
ABA873,2001,El Rosario,30.0595,115.7258
ABA879,2001,El Rosario,30.0595,115.7258
ABD123,2001,El Rosario,30.0595,115.7258
ABE204,2001,El Rosario,30.0595,115.7258
ABE763,2001,El Rosario,30.0595,115.7258
ABG047,2001,El Rosario,30.0595,115.7258
ABG152,2001,El Rosario,30.0595,115.7258
ABG174,2001,El Rosario,30.0595,115.7258
ABG221,2001,El Rosario,30.0595,115.7258
ABG581,2001,El Rosario,30.0595,115.7258
ABG702,2001,El Rosario,30.0595,115.7258
ABG728,2001,El Rosario,30.0595,115.7258
ABI284,2001,El Rosario,30.0595,115.7258
ABI420,2001,El Rosario,30.0595,115.7258
ABI566,2001,El Rosario,30.0595,115.7258
ABJ388,2001,El Rosario,30.0595,115.7258
ABJ497,2001,El Rosario,30.0595,115.7258
ABJ667,2001,El Rosario,30.0595,115.7258
ABJ782,2001,El Rosario,30.0595,115.7258
ABJ835,2001,El Rosario,30.0595,115.7258
ABJ900,2001,El Rosario,30.0595,115.7258
ABJ983,2001,El Rosario,30.0595,115.7258
ABL685,2001,El Rosario,30.0595,115.7258
ABL784,2001,El Rosario,30.0595,115.7258
ABL927,2001,El Rosario,30.0595,115.7258
ABL939,2001,El Rosario,30.0595,115.7258
ABL967,2001,El Rosario,30.0595,115.7258
ABP880,2001,El Rosario,30.0595,115.7258
ABT239,2001,El Rosario,30.0595,115.7258
ABU050,2001,El Rosario,30.0595,115.7258
ABU055,2001,El Rosario,30.0595,115.7258
ABU064,2001,El Rosario,30.0595,115.7258
ABU122,2001,El Rosario,30.0595,115.7258
ABU178,2001,El Rosario,30.0595,115.7258
