Tag Code,Report Season,Location,latitude,longitude
AN008,1995,El Rosario,30.0595,115.7258
AU646,1995,El Rosario,30.0595,115.7258
BP144,1995,El Rosario,30.0595,115.7258
BW003,1995,El Rosario,30.0595,115.7258
CM355,1995,El Rosario,30.0595,115.7258
AG802,1995,Sierra Chincua,19.6706,100.2782
AJ313,1995,Sierra Chincua,19.6706,100.2782
AS887,1995,Sierra Chincua,19.6706,100.2782
BP359,1995,Sierra Chincua,19.6706,100.2782
BP652,1995,Sierra Chincua,19.6706,100.2782
CJ954,1995,Sierra Chincua,19.6706,100.2782
CU878,1995,Sierra Chincua,19.6706,100.2782
BO299,1995,Piedra Herrada,20.73,102.6188
