Tag Code,Report Season,Location,latitude,longitude
015KR,2003,El Rosario,30.0595,115.7258
015YL,2003,El Rosario,30.0595,115.7258
027RP,2003,El Rosario,30.0595,115.7258
032KR,2003,El Rosario,30.0595,115.7258
033KR,2003,El Rosario,30.0595,115.7258
034KB,2003,El Rosario,30.0595,115.7258
035FE,2003,El Rosario,30.0595,115.7258
040YL,2003,El Rosario,30.0595,115.7258
042RD,2003,El Rosario,30.0595,115.7258
060YL,2003,El Rosario,30.0595,115.7258
061KR,2003,El Rosario,30.0595,115.7258
063KR,2003,El Rosario,30.0595,115.7258
067KR,2003,El Rosario,30.0595,115.7258
070KR,2003,El Rosario,30.0595,115.7258
110XW,2003,El Rosario,30.0595,115.7258
116KR,2003,El Rosario,30.0595,115.7258
119XW,2003,El Rosario,30.0595,115.7258
148PR,2003,El Rosario,30.0595,115.7258
250ZZ,2003,El Rosario,30.0595,115.7258
319SW,2003,El Rosario,30.0595,115.7258
367HW,2003,El Rosario,30.0595,115.7258
407ZZ,2003,El Rosario,30.0595,115.7258
420ZT,2003,El Rosario,30.0595,115.7258
478KP,2003,El Rosario,30.0595,115.7258
549UD,2003,El Rosario,30.0595,115.7258
551ZT,2003,El Rosario,30.0595,115.7258
581XA,2003,El Rosario,30.0595,115.7258
584LA,2003,El Rosario,30.0595,115.7258
598KR,2003,El Rosario,30.0595,115.7258
598TE,2003,El Rosario,30.0595,115.7258
601JU,2003,El Rosario,30.0595,115.7258
687FW,2003,El Rosario,30.0595,115.7258
711HP,2003,El Rosario,30.0595,115.7258
740SL,2003,El Rosario,30.0595,115.7258
755FX,2003,El Rosario,30.0595,115.7258
843LA,2003,El Rosario,30.0595,115.7258
870NJ,2003,El Rosario,30.0595,115.7258
908WI,2003,El Rosario,30.0595,115.7258
917GF,2003,El Rosario,30.0595,115.7258
918KB,2003,El Rosario,30.0595,115.7258
930NL,2003,El Rosario,30.0595,115.7258
AAD274,2003,El Rosario,30.0595,115.7258
AAQ611,2003,El Rosario,30.0595,115.7258
AAR563,2003,El Rosario,30.0595,115.7258
AAR700,2003,El Rosario,30.0595,115.7258
AAR828,2003,El Rosario,30.0595,115.7258
AAS164,2003,El Rosario,30.0595,115.7258
AAS409,2003,El Rosario,30.0595,115.7258
AAS589,2003,El Rosario,30.0595,115.7258
AAS724,2003,El Rosario,30.0595,115.7258
AAT606,2003,El Rosario,30.0595,115.7258
AAZ924,2003,El Rosario,30.0595,115.7258
ABF755,2003,El Rosario,30.0595,115.7258
ABH354,2003,El Rosario,30.0595,115.7258
ABJ682,2003,El Rosario,30.0595,115.7258
ABK147,2003,El Rosario,30.0595,115.7258
ABK153,2003,El Rosario,30.0595,115.7258
ABK163,2003,El Rosario,30.0595,115.7258
ABU182,2003,El Rosario,30.0595,115.7258
ABU184,2003,El Rosario,30.0595,115.7258
ABU520,2003,El Rosario,30.0595,115.7258
ABW909,2003,El Rosario,30.0595,115.7258
ABX224,2003,El Rosario,30.0595,115.7258
ABX742,2003,El Rosario,30.0595,115.7258
ABY464,2003,El Rosario,30.0595,115.7258
ABY491,2003,El Rosario,30.0595,115.7258
ABY531,2003,El Rosario,30.0595,115.7258
ABY559,2003,El Rosario,30.0595,115.7258
ACC029,2003,El Rosario,30.0595,115.7258
ACC852,2003,El Rosario,30.0595,115.7258
ACD800,2003,El Rosario,30.0595,115.7258
ACE957,2003,El Rosario,30.0595,115.7258
ACF305,2003,El Rosario,30.0595,115.7258
ACF471,2003,El Rosario,30.0595,115.7258
ACG335,2003,El Rosario,30.0595,115.7258
ACG496,2003,El Rosario,30.0595,115.7258
ACH203,2003,El Rosario,30.0595,115.7258
ACH268,2003,El Rosario,30.0595,115.7258
ACH784,2003,El Rosario,30.0595,115.7258
ACH905,2003,El Rosario,30.0595,115.7258
ACH942,2003,El Rosario,30.0595,115.7258
ACI173,2003,El Rosario,30.0595,115.7258
