Tag Code,Report Season,Location,latitude,longitude
ACJ425,2006,El Rosario,30.0595,115.7258
ADD736,2006,El Rosario,30.0595,115.7258
AES463,2006,El Rosario,30.0595,115.7258
AFM965,2006,El Rosario,30.0595,115.7258
AFN042,2006,El Rosario,30.0595,115.7258
AGX391,2006,El Rosario,30.0595,115.7258
AIE264,2006,El Rosario,30.0595,115.7258
AIU431,2006,El Rosario,30.0595,115.7258
AJY187,2006,El Rosario,30.0595,115.7258
BCF917,2006,El Rosario,30.0595,115.7258
BDD003,2006,El Rosario,30.0595,115.7258
BIU991,2006,El Rosario,30.0595,115.7258
BIX957,2006,El Rosario,30.0595,115.7258
BIZ284,2006,El Rosario,30.0595,115.7258
BKG428,2006,El Rosario,30.0595,115.7258
CBT755,2006,El Rosario,30.0595,115.7258
CCD028,2006,El Rosario,30.0595,115.7258
CCI864,2006,El Rosario,30.0595,115.7258
CCO411,2006,El Rosario,30.0595,115.7258
CCR700,2006,El Rosario,30.0595,115.7258
CCT327,2006,El Rosario,30.0595,115.7258
CDB395,2006,El Rosario,30.0595,115.7258
CDC454,2006,El Rosario,30.0595,115.7258
CDD735,2006,El Rosario,30.0595,115.7258
CDD801,2006,El Rosario,30.0595,115.7258
CDG091,2006,El Rosario,30.0595,115.7258
CDP389,2006,El Rosario,30.0595,115.7258
CDP774,2006,El Rosario,30.0595,115.7258
CEY196,2006,El Rosario,30.0595,115.7258
CEY218,2006,El Rosario,30.0595,115.7258
CEY529,2006,El Rosario,30.0595,115.7258
CEZ172,2006,El Rosario,30.0595,115.7258
CEZ451,2006,El Rosario,30.0595,115.7258
CFA450,2006,El Rosario,30.0595,115.7258
CGB796,2006,El Rosario,30.0595,115.7258
CGU763,2006,El Rosario,30.0595,115.7258
CHB437,2006,El Rosario,30.0595,115.7258
CHD050,2006,El Rosario,30.0595,115.7258
CHL123,2006,El Rosario,30.0595,115.7258
CHN120,2006,El Rosario,30.0595,115.7258
CHU935,2006,El Rosario,30.0595,115.7258
CHW092,2006,El Rosario,30.0595,115.7258
CHW901,2006,El Rosario,30.0595,115.7258
CHW907,2006,El Rosario,30.0595,115.7258
CHX211,2006,El Rosario,30.0595,115.7258
CHY382,2006,El Rosario,30.0595,115.7258
CIL523,2006,El Rosario,30.0595,115.7258
CIU502,2006,El Rosario,30.0595,115.7258
CIX695,2006,El Rosario,30.0595,115.7258
CJG919,2006,El Rosario,30.0595,115.7258
CJG965,2006,El Rosario,30.0595,115.7258
CJH073,2006,El Rosario,30.0595,115.7258
CJH579,2006,El Rosario,30.0595,115.7258
CJP345,2006,El Rosario,30.0595,115.7258
CJS809,2006,El Rosario,30.0595,115.7258
EAT200,2006,El Rosario,30.0595,115.7258
EAU117,2006,El Rosario,30.0595,115.7258
EAU171,2006,El Rosario,30.0595,115.7258
EAW769,2006,El Rosario,30.0595,115.7258
EBU250,2006,El Rosario,30.0595,115.7258
ECN563,2006,El Rosario,30.0595,115.7258
ECU769,2006,El Rosario,30.0595,115.7258
EGG002,2006,El Rosario,30.0595,115.7258
EGP356,2006,El Rosario,30.0595,115.7258
EGR949,2006,El Rosario,30.0595,115.7258
EGS322,2006,El Rosario,30.0595,115.7258
EGX082,2006,El Rosario,30.0595,115.7258
EGX831,2006,El Rosario,30.0595,115.7258
EHG252,2006,El Rosario,30.0595,115.7258
EHJ190,2006,El Rosario,30.0595,115.7258
EHK188,2006,El Rosario,30.0595,115.7258
EHZ967,2006,El Rosario,30.0595,115.7258
EJA232,2006,El Rosario,30.0595,115.7258
EJB023,2006,El Rosario,30.0595,115.7258
EJB202,2006,El Rosario,30.0595,115.7258
EKG050,2006,El Rosario,30.0595,115.7258
EKG691,2006,El Rosario,30.0595,115.7258
EKY984,2006,El Rosario,30.0595,115.7258
ELA940,2006,El Rosario,30.0595,115.7258
EW844,2006,El Rosario,30.0595,115.7258
GAR616,2006,El Rosario,30.0595,115.7258
GAX634,2006,El Rosario,30.0595,115.7258
GBG242,2006,El Rosario,30.0595,115.7258
GBX621,2006,El Rosario,30.0595,115.7258
GCH502,2006,El Rosario,30.0595,115.7258
GCL290,2006,El Rosario,30.0595,115.7258
GCM021,2006,El Rosario,30.0595,115.7258
GCS798,2006,El Rosario,30.0595,115.7258
GCU649,2006,El Rosario,30.0595,115.7258
GCU871,2006,El Rosario,30.0595,115.7258
GCW173,2006,El Rosario,30.0595,115.7258
GCY189,2006,El Rosario,30.0595,115.7258
GEH469,2006,El Rosario,30.0595,115.7258
GEN782,2006,El Rosario,30.0595,115.7258
GET764,2006,El Rosario,30.0595,115.7258
GGB562,2006,El Rosario,30.0595,115.7258
GGC100,2006,El Rosario,30.0595,115.7258
GGH864,2006,El Rosario,30.0595,115.7258
GGM533,2006,El Rosario,30.0595,115.7258
GHG198,2006,El Rosario,30.0595,115.7258
GHG561,2006,El Rosario,30.0595,115.7258
GHH569,2006,El Rosario,30.0595,115.7258
GHJ115,2006,El Rosario,30.0595,115.7258
GHS246,2006,El Rosario,30.0595,115.7258
GHS376,2006,El Rosario,30.0595,115.7258
GHU565,2006,El Rosario,30.0595,115.7258
GJB667,2006,El Rosario,30.0595,115.7258
GJM501,2006,El Rosario,30.0595,115.7258
GJT608,2006,El Rosario,30.0595,115.7258
GJW367,2006,El Rosario,30.0595,115.7258
GLL999,2006,El Rosario,30.0595,115.7258
GLP780,2006,El Rosario,30.0595,115.7258
GLS676,2006,El Rosario,30.0595,115.7258
GMG634,2006,El Rosario,30.0595,115.7258
GMJ425,2006,El Rosario,30.0595,115.7258
GNL825,2006,El Rosario,30.0595,115.7258
GPH832,2006,El Rosario,30.0595,115.7258
GPJ382,2006,El Rosario,30.0595,115.7258
GPJ570,2006,El Rosario,30.0595,115.7258
GPL334,2006,El Rosario,30.0595,115.7258
GPL624,2006,El Rosario,30.0595,115.7258
GPM412,2006,El Rosario,30.0595,115.7258
GPP011,2006,El Rosario,30.0595,115.7258
GPP454,2006,El Rosario,30.0595,115.7258
GPP633,2006,El Rosario,30.0595,115.7258
GPP652,2006,El Rosario,30.0595,115.7258
GPP969,2006,El Rosario,30.0595,115.7258
GPR009,2006,El Rosario,30.0595,115.7258
GPR044,2006,El Rosario,30.0595,115.7258
GPR128,2006,El Rosario,30.0595,115.7258
GPR726,2006,El Rosario,30.0595,115.7258
GPS308,2006,El Rosario,30.0595,115.7258
GPT532,2006,El Rosario,30.0595,115.7258
GPW757,2006,El Rosario,30.0595,115.7258
GPW785,2006,El Rosario,30.0595,115.7258
GPZ378,2006,El Rosario,30.0595,115.7258
GPZ745,2006,El Rosario,30.0595,115.7258
GPZ754,2006,El Rosario,30.0595,115.7258
GRA062,2006,El Rosario,30.0595,115.7258
GRA072,2006,El Rosario,30.0595,115.7258
GRA105,2006,El Rosario,30.0595,115.7258
