Tag Code,Report Season,Location,latitude,longitude
180IC,2016,El Rosario,30.0595,115.7258
AGB208,2016,El Rosario,30.0595,115.7258
CCS391,2016,El Rosario,30.0595,115.7258
EPA990,2016,El Rosario,30.0595,115.7258
GGU501,2016,El Rosario,30.0595,115.7258
HGN532,2016,El Rosario,30.0595,115.7258
HLH135,2016,El Rosario,30.0595,115.7258
JNR972,2016,El Rosario,30.0595,115.7258
LMX635,2016,El Rosario,30.0595,115.7258
LPY740,2016,El Rosario,30.0595,115.7258
MJE462,2016,El Rosario,30.0595,115.7258
MMS150,2016,El Rosario,30.0595,115.7258
PHH385,2016,El Rosario,30.0595,115.7258
PHH390,2016,El Rosario,30.0595,115.7258
PHT496,2016,El Rosario,30.0595,115.7258
PHT595,2016,El Rosario,30.0595,115.7258
PJA227,2016,El Rosario,30.0595,115.7258
PJX569,2016,El Rosario,30.0595,115.7258
PMZ339,2016,El Rosario,30.0595,115.7258
QK595,2016,El Rosario,30.0595,115.7258
RHC141,2016,El Rosario,30.0595,115.7258
RNC698,2016,El Rosario,30.0595,115.7258
SBA601,2016,El Rosario,30.0595,115.7258
SBT972,2016,El Rosario,30.0595,115.7258
SE468,2016,El Rosario,30.0595,115.7258
SEY163,2016,El Rosario,30.0595,115.7258
SLW695,2016,El Rosario,30.0595,115.7258
SMM218,2016,El Rosario,30.0595,115.7258
SMM417,2016,El Rosario,30.0595,115.7258
SMN624,2016,El Rosario,30.0595,115.7258
SMP455,2016,El Rosario,30.0595,115.7258
SMP524,2016,El Rosario,30.0595,115.7258
SMP528,2016,El Rosario,30.0595,115.7258
SMP590,2016,El Rosario,30.0595,115.7258
SMP609,2016,El Rosario,30.0595,115.7258
SMP620,2016,El Rosario,30.0595,115.7258
SMR886,2016,El Rosario,30.0595,115.7258
SMR894,2016,El Rosario,30.0595,115.7258
SMS570,2016,El Rosario,30.0595,115.7258
SMS709,2016,El Rosario,30.0595,115.7258
SMX025,2016,El Rosario,30.0595,115.7258
SMX032,2016,El Rosario,30.0595,115.7258
SMX069,2016,El Rosario,30.0595,115.7258
SMX101,2016,El Rosario,30.0595,115.7258
SMX122,2016,El Rosario,30.0595,115.7258
SMX611,2016,El Rosario,30.0595,115.7258
SNH725,2016,El Rosario,30.0595,115.7258
SNJ350,2016,El Rosario,30.0595,115.7258
SNM616,2016,El Rosario,30.0595,115.7258
SNT793,2016,El Rosario,30.0595,115.7258
SNT861,2016,El Rosario,30.0595,115.7258
SRM623,2016,El Rosario,30.0595,115.7258
SRM681,2016,El Rosario,30.0595,115.7258
SRM736,2016,El Rosario,30.0595,115.7258
SRM783,2016,El Rosario,30.0595,115.7258
SRM932,2016,El Rosario,30.0595,115.7258
SRM953,2016,El Rosario,30.0595,115.7258
SRM968,2016,El Rosario,30.0595,115.7258
SRM980,2016,El Rosario,30.0595,115.7258
SRN123,2016,El Rosario,30.0595,115.7258
SRN184,2016,El Rosario,30.0595,115.7258
SRN351,2016,El Rosario,30.0595,115.7258
TCR738,2016,El Rosario,30.0595,115.7258
TCU489,2016,El Rosario,30.0595,115.7258
TCU858,2016,El Rosario,30.0595,115.7258
TCW225,2016,El Rosario,30.0595,115.7258
TEJ984,2016,El Rosario,30.0595,115.7258
TER150,2016,El Rosario,30.0595,115.7258
TES305,2016,El Rosario,30.0595,115.7258
TES327,2016,El Rosario,30.0595,115.7258
TES352,2016,El Rosario,30.0595,115.7258
TES369,2016,El Rosario,30.0595,115.7258
TES378,2016,El Rosario,30.0595,115.7258
TES382,2016,El Rosario,30.0595,115.7258
TES398,2016,El Rosario,30.0595,115.7258
TES457,2016,El Rosario,30.0595,115.7258
TES463,2016,El Rosario,30.0595,115.7258
TES467,2016,El Rosario,30.0595,115.7258
TGN359,2016,El Rosario,30.0595,115.7258
THA304,2016,El Rosario,30.0595,115.7258
THA683,2016,El Rosario,30.0595,115.7258
THA759,2016,El Rosario,30.0595,115.7258
THA788,2016,El Rosario,30.0595,115.7258
THA809,2016,El Rosario,30.0595,115.7258
THA870,2016,El Rosario,30.0595,115.7258
THP119,2016,El Rosario,30.0595,115.7258
THS168,2016,El Rosario,30.0595,115.7258
THY276,2016,El Rosario,30.0595,115.7258
TJX933,2016,El Rosario,30.0595,115.7258
TLH665,2016,El Rosario,30.0595,115.7258
TLU972,2016,El Rosario,30.0595,115.7258
TLY403,2016,El Rosario,30.0595,115.7258
TLY420,2016,El Rosario,30.0595,115.7258
TMJ434,2016,El Rosario,30.0595,115.7258
TMM022,2016,El Rosario,30.0595,115.7258
TMN013,2016,El Rosario,30.0595,115.7258
TMS969,2016,El Rosario,30.0595,115.7258
TMW859,2016,El Rosario,30.0595,115.7258
TMX734,2016,El Rosario,30.0595,115.7258
TMX825,2016,El Rosario,30.0595,115.7258
TMX879,2016,El Rosario,30.0595,115.7258
TMY083,2016,El Rosario,30.0595,115.7258
TMY491,2016,El Rosario,30.0595,115.7258
TMY579,2016,El Rosario,30.0595,115.7258
TMY580,2016,El Rosario,30.0595,115.7258
TMY651,2016,El Rosario,30.0595,115.7258
TMY667,2016,El Rosario,30.0595,115.7258
TMZ391,2016,El Rosario,30.0595,115.7258
TMZ421,2016,El Rosario,30.0595,115.7258
