Tag Code,Report Season,Location,latitude,longitude
BGO370,2013,El Rosario,30.0595,115.7258
BKS000,2013,El Rosario,30.0595,115.7258
CCG871,2013,El Rosario,30.0595,115.7258
CCT321,2013,El Rosario,30.0595,115.7258
CCW764,2013,El Rosario,30.0595,115.7258
CIW217,2013,El Rosario,30.0595,115.7258
EJM047,2013,El Rosario,30.0595,115.7258
EKU551,2013,El Rosario,30.0595,115.7258
GEJ886,2013,El Rosario,30.0595,115.7258
GJC331,2013,El Rosario,30.0595,115.7258
GLP438,2013,El Rosario,30.0595,115.7258
GMB635,2013,El Rosario,30.0595,115.7258
GPZ487,2013,El Rosario,30.0595,115.7258
GRM574,2013,El Rosario,30.0595,115.7258
GRU407,2013,El Rosario,30.0595,115.7258
JGT469,2013,El Rosario,30.0595,115.7258
JJJ323,2013,El Rosario,30.0595,115.7258
JLG116,2013,El Rosario,30.0595,115.7258
JMG060,2013,El Rosario,30.0595,115.7258
JMY469,2013,El Rosario,30.0595,115.7258
LAR170,2013,El Rosario,30.0595,115.7258
LBA747,2013,El Rosario,30.0595,115.7258
LEN772,2013,El Rosario,30.0595,115.7258
LEU743,2013,El Rosario,30.0595,115.7258
LHS403,2013,El Rosario,30.0595,115.7258
LHY992,2013,El Rosario,30.0595,115.7258
LJA571,2013,El Rosario,30.0595,115.7258
LMJ582,2013,El Rosario,30.0595,115.7258
LNP119,2013,El Rosario,30.0595,115.7258
MJT873,2013,El Rosario,30.0595,115.7258
MJT884,2013,El Rosario,30.0595,115.7258
NBJ036,2013,El Rosario,30.0595,115.7258
NCB024,2013,El Rosario,30.0595,115.7258
NEE571,2013,El Rosario,30.0595,115.7258
NJM690,2013,El Rosario,30.0595,115.7258
NPA714,2013,El Rosario,30.0595,115.7258
PBT316,2013,El Rosario,30.0595,115.7258
PCH418,2013,El Rosario,30.0595,115.7258
PCL258,2013,El Rosario,30.0595,115.7258
PGP080,2013,El Rosario,30.0595,115.7258
PNB010,2013,El Rosario,30.0595,115.7258
RAR024,2013,El Rosario,30.0595,115.7258
RAR484,2013,El Rosario,30.0595,115.7258
