Tag Code,Report Season,Location,latitude,longitude
CCU931,2009,El Rosario,30.0595,115.7258
JLE468,2009,El Rosario,30.0595,115.7258
JMY966,2009,El Rosario,30.0595,115.7258
LEC599,2009,El Rosario,30.0595,115.7258
LES523,2009,El Rosario,30.0595,115.7258
LMY965,2009,El Rosario,30.0595,115.7258
LNA248,2009,El Rosario,30.0595,115.7258
MCN643,2009,El Rosario,30.0595,115.7258
MEW037,2009,El Rosario,30.0595,115.7258
MJC129,2009,El Rosario,30.0595,115.7258
MJH533,2009,El Rosario,30.0595,115.7258
MJR720,2009,El Rosario,30.0595,115.7258
MMU391,2009,El Rosario,30.0595,115.7258
EBA351,2009,Cerro Pelon,19.3918,100.2611
LGE277,2009,Cerro Pelon,19.3918,100.2611
MAS109,2009,Cerro Pelon,19.3918,100.2611
MEP733,2009,Cerro Pelon,19.3918,100.2611
MLZ829,2009,Cerro Pelon,19.3918,100.2611
LBA911,2009,Sierra Chincua,19.6706,100.2782
LJH783,2009,Sierra Chincua,19.6706,100.2782
LJJ275,2009,Sierra Chincua,19.6706,100.2782
MCC889,2009,Sierra Chincua,19.6706,100.2782
MEJ750,2009,Sierra Chincua,19.6706,100.2782
MET088,2009,Sierra Chincua,19.6706,100.2782
MET893,2009,Sierra Chincua,19.6706,100.2782
MGJ546,2009,Sierra Chincua,19.6706,100.2782
MJM604,2009,Sierra Chincua,19.6706,100.2782
MJZ486,2009,Sierra Chincua,19.6706,100.2782
HBR612,2009,Piedra Herrada,20.73,102.6188
JEY794,2009,Piedra Herrada,20.73,102.6188
JPH655,2009,Piedra Herrada,20.73,102.6188
MET341,2009,Piedra Herrada,20.73,102.6188
MEZ877,2009,Chivati-Huacal,19.3623,100.143
MJE879,2009,Chivati-Huacal,19.3623,100.143
MJZ429,2009,Chivati-Huacal,19.3623,100.143
