Tag Code,Report Season,Location,latitude,longitude
ACH396,2018,El Rosario,30.0595,115.7258
AEP302,2018,El Rosario,30.0595,115.7258
EHJ424,2018,El Rosario,30.0595,115.7258
LMT396,2018,El Rosario,30.0595,115.7258
MCC639,2018,El Rosario,30.0595,115.7258
MJS515,2018,El Rosario,30.0595,115.7258
PBA155,2018,El Rosario,30.0595,115.7258
PGM698,2018,El Rosario,30.0595,115.7258
SMX084,2018,El Rosario,30.0595,115.7258
SNT714,2018,El Rosario,30.0595,115.7258
SPC781,2018,El Rosario,30.0595,115.7258
SPC788,2018,El Rosario,30.0595,115.7258
SPN100,2018,El Rosario,30.0595,115.7258
SRC897,2018,El Rosario,30.0595,115.7258
TCG443,2018,El Rosario,30.0595,115.7258
TCU090,2018,El Rosario,30.0595,115.7258
TGG734,2018,El Rosario,30.0595,115.7258
TGM831,2018,El Rosario,30.0595,115.7258
TH604,2018,El Rosario,30.0595,115.7258
TLW162,2018,El Rosario,30.0595,115.7258
TNH100,2018,El Rosario,30.0595,115.7258
UAY261,2018,El Rosario,30.0595,115.7258
UCZ097,2018,El Rosario,30.0595,115.7258
UCZ576,2018,El Rosario,30.0595,115.7258
UEX974,2018,El Rosario,30.0595,115.7258
UGC438,2018,El Rosario,30.0595,115.7258
UHJ099,2018,El Rosario,30.0595,115.7258
ULP852,2018,El Rosario,30.0595,115.7258
ULR735,2018,El Rosario,30.0595,115.7258
UNE790,2018,El Rosario,30.0595,115.7258
UNP710,2018,El Rosario,30.0595,115.7258
WBT805,2018,El Rosario,30.0595,115.7258
WCU065,2018,El Rosario,30.0595,115.7258
WCZ623,2018,El Rosario,30.0595,115.7258
WEB705,2018,El Rosario,30.0595,115.7258
WES671,2018,El Rosario,30.0595,115.7258
WEU113,2018,El Rosario,30.0595,115.7258
WEY839,2018,El Rosario,30.0595,115.7258
WGL165,2018,El Rosario,30.0595,115.7258
WJY879,2018,El Rosario,30.0595,115.7258
WLC546,2018,El Rosario,30.0595,115.7258
WLE034,2018,El Rosario,30.0595,115.7258
WLU045,2018,El Rosario,30.0595,115.7258
WMB020,2018,El Rosario,30.0595,115.7258
WME437,2018,El Rosario,30.0595,115.7258
WMZ570,2018,El Rosario,30.0595,115.7258
WMZ601,2018,El Rosario,30.0595,115.7258
WNL322,2018,El Rosario,30.0595,115.7258
WRS325,2018,El Rosario,30.0595,115.7258
XAG909,2018,El Rosario,30.0595,115.7258
XAH166,2018,El Rosario,30.0595,115.7258
XAH274,2018,El Rosario,30.0595,115.7258
XAH689,2018,El Rosario,30.0595,115.7258
XAH884,2018,El Rosario,30.0595,115.7258
XAJ862,2018,El Rosario,30.0595,115.7258
