Tag Code,Report Season,Location,latitude,longitude
070HS,2002,El Rosario,30.0595,115.7258
116TF,2002,El Rosario,30.0595,115.7258
131PR,2002,El Rosario,30.0595,115.7258
247RW,2002,El Rosario,30.0595,115.7258
268RW,2002,El Rosario,30.0595,115.7258
274RW,2002,El Rosario,30.0595,115.7258
332SW,2002,El Rosario,30.0595,115.7258
444YE,2002,El Rosario,30.0595,115.7258
460YU,2002,El Rosario,30.0595,115.7258
481JK,2002,El Rosario,30.0595,115.7258
568HK,2002,El Rosario,30.0595,115.7258
588ME,2002,El Rosario,30.0595,115.7258
594ZT,2002,El Rosario,30.0595,115.7258
696FW,2002,El Rosario,30.0595,115.7258
735FW,2002,El Rosario,30.0595,115.7258
755MY,2002,El Rosario,30.0595,115.7258
768WH,2002,El Rosario,30.0595,115.7258
914WI,2002,El Rosario,30.0595,115.7258
917NJ,2002,El Rosario,30.0595,115.7258
AAD900,2002,El Rosario,30.0595,115.7258
AAD947,2002,El Rosario,30.0595,115.7258
AAH299,2002,El Rosario,30.0595,115.7258
AAI043,2002,El Rosario,30.0595,115.7258
AAJ498,2002,El Rosario,30.0595,115.7258
AAN072,2002,El Rosario,30.0595,115.7258
AAP731,2002,El Rosario,30.0595,115.7258
AAP765,2002,El Rosario,30.0595,115.7258
AAQ576,2002,El Rosario,30.0595,115.7258
AAR518,2002,El Rosario,30.0595,115.7258
AAR555,2002,El Rosario,30.0595,115.7258
AAR670,2002,El Rosario,30.0595,115.7258
AAR702,2002,El Rosario,30.0595,115.7258
AAR833,2002,El Rosario,30.0595,115.7258
AAR872,2002,El Rosario,30.0595,115.7258
AAS229,2002,El Rosario,30.0595,115.7258
AAS433,2002,El Rosario,30.0595,115.7258
AAX311,2002,El Rosario,30.0595,115.7258
ABA850,2002,El Rosario,30.0595,115.7258
ABA852,2002,El Rosario,30.0595,115.7258
ABA887,2002,El Rosario,30.0595,115.7258
ABB688,2002,El Rosario,30.0595,115.7258
ABJ484,2002,El Rosario,30.0595,115.7258
ABL773,2002,El Rosario,30.0595,115.7258
ABO428,2002,El Rosario,30.0595,115.7258
ABP727,2002,El Rosario,30.0595,115.7258
ABQ027,2002,El Rosario,30.0595,115.7258
ABU264,2002,El Rosario,30.0595,115.7258
ABU293,2002,El Rosario,30.0595,115.7258
ABU342,2002,El Rosario,30.0595,115.7258
ABU521,2002,El Rosario,30.0595,115.7258
ABW863,2002,El Rosario,30.0595,115.7258
ABW895,2002,El Rosario,30.0595,115.7258
ABW906,2002,El Rosario,30.0595,115.7258
ABX167,2002,El Rosario,30.0595,115.7258
ABX247,2002,El Rosario,30.0595,115.7258
ABX316,2002,El Rosario,30.0595,115.7258
ABX513,2002,El Rosario,30.0595,115.7258
ABX592,2002,El Rosario,30.0595,115.7258
ABX657,2002,El Rosario,30.0595,115.7258
ABX723,2002,El Rosario,30.0595,115.7258
ABY065,2002,El Rosario,30.0595,115.7258
ABY314,2002,El Rosario,30.0595,115.7258
ABZ801,2002,El Rosario,30.0595,115.7258
ACA556,2002,El Rosario,30.0595,115.7258
ACA983,2002,El Rosario,30.0595,115.7258
ACA990,2002,El Rosario,30.0595,115.7258
ACB010,2002,El Rosario,30.0595,115.7258
ACB020,2002,El Rosario,30.0595,115.7258
ACC268,2002,El Rosario,30.0595,115.7258
ACC310,2002,El Rosario,30.0595,115.7258
ACC897,2002,El Rosario,30.0595,115.7258
ACD579,2002,El Rosario,30.0595,115.7258
ACF320,2002,El Rosario,30.0595,115.7258
ACF346,2002,El Rosario,30.0595,115.7258
ACG330,2002,El Rosario,30.0595,115.7258
ACG864,2002,El Rosario,30.0595,115.7258
ACG985,2002,El Rosario,30.0595,115.7258
ACH045,2002,El Rosario,30.0595,115.7258
ACH855,2002,El Rosario,30.0595,115.7258
ACH933,2002,El Rosario,30.0595,115.7258
ACI065,2002,El Rosario,30.0595,115.7258
ACI067,2002,El Rosario,30.0595,115.7258
ACI136,2002,El Rosario,30.0595,115.7258
ACI202,2002,El Rosario,30.0595,115.7258
ACI285,2002,El Rosario,30.0595,115.7258
ACI306,2002,El Rosario,30.0595,115.7258
ACI475,2002,El Rosario,30.0595,115.7258
ACI661,2002,El Rosario,30.0595,115.7258
ACI689,2002,El Rosario,30.0595,115.7258
ACI730,2002,El Rosario,30.0595,115.7258
ACJ052,2002,El Rosario,30.0595,115.7258
ACJ871,2002,El Rosario,30.0595,115.7258
ACJ876,2002,El Rosario,30.0595,115.7258
ACJ904,2002,El Rosario,30.0595,115.7258
ACJ948,2002,El Rosario,30.0595,115.7258
ACJ992,2002,El Rosario,30.0595,115.7258
ACK001,2002,El Rosario,30.0595,115.7258
ACK722,2002,El Rosario,30.0595,115.7258
ACK796,2002,El Rosario,30.0595,115.7258
ACK836,2002,El Rosario,30.0595,115.7258
ACL063,2002,El Rosario,30.0595,115.7258
ACL141,2002,El Rosario,30.0595,115.7258
ACL495,2002,El Rosario,30.0595,115.7258
ACL522,2002,El Rosario,30.0595,115.7258
ACL591,2002,El Rosario,30.0595,115.7258
ACL625,2002,El Rosario,30.0595,115.7258
ACL643,2002,El Rosario,30.0595,115.7258
ACL685,2002,El Rosario,30.0595,115.7258
ACL718,2002,El Rosario,30.0595,115.7258
ACL752,2002,El Rosario,30.0595,115.7258
ACL758,2002,El Rosario,30.0595,115.7258
ACL777,2002,El Rosario,30.0595,115.7258
ACM044,2002,El Rosario,30.0595,115.7258
ACM067,2002,El Rosario,30.0595,115.7258
ACM122,2002,El Rosario,30.0595,115.7258
ACM232,2002,El Rosario,30.0595,115.7258
ACM245,2002,El Rosario,30.0595,115.7258
ACM322,2002,El Rosario,30.0595,115.7258
ACM654,2002,El Rosario,30.0595,115.7258
ACM833,2002,El Rosario,30.0595,115.7258
ACM879,2002,El Rosario,30.0595,115.7258
ACN032,2002,El Rosario,30.0595,115.7258
ACN123,2002,El Rosario,30.0595,115.7258
ACN170,2002,El Rosario,30.0595,115.7258
ACN667,2002,El Rosario,30.0595,115.7258
ACO039,2002,El Rosario,30.0595,115.7258
ACO144,2002,El Rosario,30.0595,115.7258
ACO164,2002,El Rosario,30.0595,115.7258
ACO179,2002,El Rosario,30.0595,115.7258
ACO279,2002,El Rosario,30.0595,115.7258
ACO289,2002,El Rosario,30.0595,115.7258
ACO301,2002,El Rosario,30.0595,115.7258
ACO344,2002,El Rosario,30.0595,115.7258
ACO391,2002,El Rosario,30.0595,115.7258
ACO518,2002,El Rosario,30.0595,115.7258
ACP809,2002,El Rosario,30.0595,115.7258
ACR174,2002,El Rosario,30.0595,115.7258
ACR386,2002,El Rosario,30.0595,115.7258
ACR480,2002,El Rosario,30.0595,115.7258
ACR508,2002,El Rosario,30.0595,115.7258
ACR630,2002,El Rosario,30.0595,115.7258
ACR682,2002,El Rosario,30.0595,115.7258
ACR696,2002,El Rosario,30.0595,115.7258
ACR713,2002,El Rosario,30.0595,115.7258
ACR718,2002,El Rosario,30.0595,115.7258
ACS104,2002,El Rosario,30.0595,115.7258
ACS191,2002,El Rosario,30.0595,115.7258
ACS226,2002,El Rosario,30.0595,115.7258
ACS345,2002,El Rosario,30.0595,115.7258
ACS547,2002,El Rosario,30.0595,115.7258
ACS675,2002,El Rosario,30.0595,115.7258
ACT471,2002,El Rosario,30.0595,115.7258
ACU006,2002,El Rosario,30.0595,115.7258
ACU047,2002,El Rosario,30.0595,115.7258
ACU100,2002,El Rosario,30.0595,115.7258
ACU172,2002,El Rosario,30.0595,115.7258
ACW205,2002,El Rosario,30.0595,115.7258
ACW209,2002,El Rosario,30.0595,115.7258
ACW776,2002,El Rosario,30.0595,115.7258
ACY079,2002,El Rosario,30.0595,115.7258
ACY113,2002,El Rosario,30.0595,115.7258
ACY169,2002,El Rosario,30.0595,115.7258
ACY539,2002,El Rosario,30.0595,115.7258
ACY557,2002,El Rosario,30.0595,115.7258
ACY596,2002,El Rosario,30.0595,115.7258
ACY646,2002,El Rosario,30.0595,115.7258
ACY651,2002,El Rosario,30.0595,115.7258
ACY719,2002,El Rosario,30.0595,115.7258
ACY803,2002,El Rosario,30.0595,115.7258
ACY892,2002,El Rosario,30.0595,115.7258
ACZ672,2002,El Rosario,30.0595,115.7258
ADB870,2002,El Rosario,30.0595,115.7258
ADD176,2002,El Rosario,30.0595,115.7258
ADD254,2002,El Rosario,30.0595,115.7258
ADD358,2002,El Rosario,30.0595,115.7258
ADD732,2002,El Rosario,30.0595,115.7258
ADF013,2002,El Rosario,30.0595,115.7258
ADF074,2002,El Rosario,30.0595,115.7258
ADF860,2002,El Rosario,30.0595,115.7258
ADH200,2002,El Rosario,30.0595,115.7258
ADH248,2002,El Rosario,30.0595,115.7258
ADH862,2002,El Rosario,30.0595,115.7258
ADJ388,2002,El Rosario,30.0595,115.7258
ADJ455,2002,El Rosario,30.0595,115.7258
ADJ520,2002,El Rosario,30.0595,115.7258
ADJ695,2002,El Rosario,30.0595,115.7258
ADJ711,2002,El Rosario,30.0595,115.7258
ADL140,2002,El Rosario,30.0595,115.7258
ADL503,2002,El Rosario,30.0595,115.7258
ADM484,2002,El Rosario,30.0595,115.7258
ADM503,2002,El Rosario,30.0595,115.7258
ADM707,2002,El Rosario,30.0595,115.7258
ADM803,2002,El Rosario,30.0595,115.7258
ADM849,2002,El Rosario,30.0595,115.7258
ADM889,2002,El Rosario,30.0595,115.7258
ADN473,2002,El Rosario,30.0595,115.7258
ADN713,2002,El Rosario,30.0595,115.7258
ADN780,2002,El Rosario,30.0595,115.7258
ADN781,2002,El Rosario,30.0595,115.7258
ADN862,2002,El Rosario,30.0595,115.7258
ADN864,2002,El Rosario,30.0595,115.7258
ADN914,2002,El Rosario,30.0595,115.7258
ADN953,2002,El Rosario,30.0595,115.7258
ADN970,2002,El Rosario,30.0595,115.7258
ADQ881,2002,El Rosario,30.0595,115.7258
ADQ925,2002,El Rosario,30.0595,115.7258
ADR123,2002,El Rosario,30.0595,115.7258
ADR418,2002,El Rosario,30.0595,115.7258
ADR708,2002,El Rosario,30.0595,115.7258
ADR759,2002,El Rosario,30.0595,115.7258
ADR790,2002,El Rosario,30.0595,115.7258
ADR824,2002,El Rosario,30.0595,115.7258
ADR844,2002,El Rosario,30.0595,115.7258
ADR905,2002,El Rosario,30.0595,115.7258
ADS246,2002,El Rosario,30.0595,115.7258
ADS386,2002,El Rosario,30.0595,115.7258
ADS462,2002,El Rosario,30.0595,115.7258
ADS550,2002,El Rosario,30.0595,115.7258
ADS605,2002,El Rosario,30.0595,115.7258
ADS664,2002,El Rosario,30.0595,115.7258
ADT177,2002,El Rosario,30.0595,115.7258
ADT390,2002,El Rosario,30.0595,115.7258
ADT433,2002,El Rosario,30.0595,115.7258
ADT482,2002,El Rosario,30.0595,115.7258
ADU587,2002,El Rosario,30.0595,115.7258
ADW352,2002,El Rosario,30.0595,115.7258
ADW374,2002,El Rosario,30.0595,115.7258
ADX021,2002,El Rosario,30.0595,115.7258
ADX516,2002,El Rosario,30.0595,115.7258
ADY151,2002,El Rosario,30.0595,115.7258
ADY176,2002,El Rosario,30.0595,115.7258
ADY195,2002,El Rosario,30.0595,115.7258
ADY231,2002,El Rosario,30.0595,115.7258
ADY300,2002,El Rosario,30.0595,115.7258
ADY365,2002,El Rosario,30.0595,115.7258
ADY436,2002,El Rosario,30.0595,115.7258
ADY683,2002,El Rosario,30.0595,115.7258
ADY695,2002,El Rosario,30.0595,115.7258
ADY971,2002,El Rosario,30.0595,115.7258
ADZ051,2002,El Rosario,30.0595,115.7258
ADZ356,2002,El Rosario,30.0595,115.7258
AEB186,2002,El Rosario,30.0595,115.7258
AEB425,2002,El Rosario,30.0595,115.7258
AEB426,2002,El Rosario,30.0595,115.7258
AEC229,2002,El Rosario,30.0595,115.7258
AEC615,2002,El Rosario,30.0595,115.7258
AEC691,2002,El Rosario,30.0595,115.7258
AED299,2002,El Rosario,30.0595,115.7258
AED365,2002,El Rosario,30.0595,115.7258
AED369,2002,El Rosario,30.0595,115.7258
AEE971,2002,El Rosario,30.0595,115.7258
AEF716,2002,El Rosario,30.0595,115.7258
AEF757,2002,El Rosario,30.0595,115.7258
AEF776,2002,El Rosario,30.0595,115.7258
AEF857,2002,El Rosario,30.0595,115.7258
AEF889,2002,El Rosario,30.0595,115.7258
AEF940,2002,El Rosario,30.0595,115.7258
AEG675,2002,El Rosario,30.0595,115.7258
AEG676,2002,El Rosario,30.0595,115.7258
AEG763,2002,El Rosario,30.0595,115.7258
AEG938,2002,El Rosario,30.0595,115.7258
AEG959,2002,El Rosario,30.0595,115.7258
AEG970,2002,El Rosario,30.0595,115.7258
AEH010,2002,El Rosario,30.0595,115.7258
AEH123,2002,El Rosario,30.0595,115.7258
AEH562,2002,El Rosario,30.0595,115.7258
AEH645,2002,El Rosario,30.0595,115.7258
AEH647,2002,El Rosario,30.0595,115.7258
AEH728,2002,El Rosario,30.0595,115.7258
AEH740,2002,El Rosario,30.0595,115.7258
AEH902,2002,El Rosario,30.0595,115.7258
AEH938,2002,El Rosario,30.0595,115.7258
AEH954,2002,El Rosario,30.0595,115.7258
AEI010,2002,El Rosario,30.0595,115.7258
AEI150,2002,El Rosario,30.0595,115.7258
AEI161,2002,El Rosario,30.0595,115.7258
AEI220,2002,El Rosario,30.0595,115.7258
AEI280,2002,El Rosario,30.0595,115.7258
AEI355,2002,El Rosario,30.0595,115.7258
AEI412,2002,El Rosario,30.0595,115.7258
AEI609,2002,El Rosario,30.0595,115.7258
AEI676,2002,El Rosario,30.0595,115.7258
AEI746,2002,El Rosario,30.0595,115.7258
AEJ008,2002,El Rosario,30.0595,115.7258
AEJ047,2002,El Rosario,30.0595,115.7258
AEJ086,2002,El Rosario,30.0595,115.7258
AEJ143,2002,El Rosario,30.0595,115.7258
AEJ511,2002,El Rosario,30.0595,115.7258
AEJ587,2002,El Rosario,30.0595,115.7258
AEJ697,2002,El Rosario,30.0595,115.7258
AEJ718,2002,El Rosario,30.0595,115.7258
AEJ722,2002,El Rosario,30.0595,115.7258
AEJ726,2002,El Rosario,30.0595,115.7258
AEK945,2002,El Rosario,30.0595,115.7258
AEL381,2002,El Rosario,30.0595,115.7258
AEL484,2002,El Rosario,30.0595,115.7258
AEL519,2002,El Rosario,30.0595,115.7258
AEL535,2002,El Rosario,30.0595,115.7258
AEL609,2002,El Rosario,30.0595,115.7258
AEL624,2002,El Rosario,30.0595,115.7258
AEL667,2002,El Rosario,30.0595,115.7258
AEL869,2002,El Rosario,30.0595,115.7258
AEM255,2002,El Rosario,30.0595,115.7258
AEM314,2002,El Rosario,30.0595,115.7258
AEM404,2002,El Rosario,30.0595,115.7258
AEM469,2002,El Rosario,30.0595,115.7258
AEM694,2002,El Rosario,30.0595,115.7258
AEM716,2002,El Rosario,30.0595,115.7258
AEM722,2002,El Rosario,30.0595,115.7258
