Tag Code,Report Season,Location,latitude,longitude
003YI,2000,El Rosario,30.0595,115.7258
003YK,2000,El Rosario,30.0595,115.7258
008SZ,2000,El Rosario,30.0595,115.7258
010JU,2000,El Rosario,30.0595,115.7258
012RT,2000,El Rosario,30.0595,115.7258
017MS,2000,El Rosario,30.0595,115.7258
021KS,2000,El Rosario,30.0595,115.7258
025TD,2000,El Rosario,30.0595,115.7258
025XG,2000,El Rosario,30.0595,115.7258
027JN,2000,El Rosario,30.0595,115.7258
031LW,2000,El Rosario,30.0595,115.7258
037IB,2000,El Rosario,30.0595,115.7258
039XJ,2000,El Rosario,30.0595,115.7258
045XJ,2000,El Rosario,30.0595,115.7258
052XZ,2000,El Rosario,30.0595,115.7258
060RX,2000,El Rosario,30.0595,115.7258
067GA,2000,El Rosario,30.0595,115.7258
070SZ,2000,El Rosario,30.0595,115.7258
081OJ,2000,El Rosario,30.0595,115.7258
087TS,2000,El Rosario,30.0595,115.7258
096RX,2000,El Rosario,30.0595,115.7258
109NC,2000,El Rosario,30.0595,115.7258
116HM,2000,El Rosario,30.0595,115.7258
129RL,2000,El Rosario,30.0595,115.7258
131WJ,2000,El Rosario,30.0595,115.7258
150IZ,2000,El Rosario,30.0595,115.7258
151YM,2000,El Rosario,30.0595,115.7258
155UT,2000,El Rosario,30.0595,115.7258
159YM,2000,El Rosario,30.0595,115.7258
172SP,2000,El Rosario,30.0595,115.7258
175PG,2000,El Rosario,30.0595,115.7258
179FA,2000,El Rosario,30.0595,115.7258
180JC,2000,El Rosario,30.0595,115.7258
181HK,2000,El Rosario,30.0595,115.7258
184XJ,2000,El Rosario,30.0595,115.7258
205RE,2000,El Rosario,30.0595,115.7258
214SM,2000,El Rosario,30.0595,115.7258
216ZL,2000,El Rosario,30.0595,115.7258
221SP,2000,El Rosario,30.0595,115.7258
226TE,2000,El Rosario,30.0595,115.7258
229SU,2000,El Rosario,30.0595,115.7258
230YH,2000,El Rosario,30.0595,115.7258
233YT,2000,El Rosario,30.0595,115.7258
235IS,2000,El Rosario,30.0595,115.7258
237HU,2000,El Rosario,30.0595,115.7258
245SO,2000,El Rosario,30.0595,115.7258
249IA,2000,El Rosario,30.0595,115.7258
250JI,2000,El Rosario,30.0595,115.7258
254WS,2000,El Rosario,30.0595,115.7258
257ZL,2000,El Rosario,30.0595,115.7258
260PG,2000,El Rosario,30.0595,115.7258
279XH,2000,El Rosario,30.0595,115.7258
281ST,2000,El Rosario,30.0595,115.7258
282SZ,2000,El Rosario,30.0595,115.7258
284JI,2000,El Rosario,30.0595,115.7258
288RQ,2000,El Rosario,30.0595,115.7258
295PG,2000,El Rosario,30.0595,115.7258
299YM,2000,El Rosario,30.0595,115.7258
302RW,2000,El Rosario,30.0595,115.7258
303QW,2000,El Rosario,30.0595,115.7258
311TX,2000,El Rosario,30.0595,115.7258
313XH,2000,El Rosario,30.0595,115.7258
319XF,2000,El Rosario,30.0595,115.7258
326SM,2000,El Rosario,30.0595,115.7258
326UT,2000,El Rosario,30.0595,115.7258
327TW,2000,El Rosario,30.0595,115.7258
330WG,2000,El Rosario,30.0595,115.7258
340ZL,2000,El Rosario,30.0595,115.7258
341TN,2000,El Rosario,30.0595,115.7258
345TX,2000,El Rosario,30.0595,115.7258
350JS,2000,El Rosario,30.0595,115.7258
355RJ,2000,El Rosario,30.0595,115.7258
366YI,2000,El Rosario,30.0595,115.7258
372KS,2000,El Rosario,30.0595,115.7258
380NG,2000,El Rosario,30.0595,115.7258
382XE,2000,El Rosario,30.0595,115.7258
399WH,2000,El Rosario,30.0595,115.7258
401RR,2000,El Rosario,30.0595,115.7258
406KZ,2000,El Rosario,30.0595,115.7258
409YG,2000,El Rosario,30.0595,115.7258
413WH,2000,El Rosario,30.0595,115.7258
419RW,2000,El Rosario,30.0595,115.7258
421FF,2000,El Rosario,30.0595,115.7258
421UC,2000,El Rosario,30.0595,115.7258
424JC,2000,El Rosario,30.0595,115.7258
426HS,2000,El Rosario,30.0595,115.7258
427XL,2000,El Rosario,30.0595,115.7258
436UA,2000,El Rosario,30.0595,115.7258
438JW,2000,El Rosario,30.0595,115.7258
443FC,2000,El Rosario,30.0595,115.7258
447RT,2000,El Rosario,30.0595,115.7258
464YJ,2000,El Rosario,30.0595,115.7258
468XP,2000,El Rosario,30.0595,115.7258
469YM,2000,El Rosario,30.0595,115.7258
473NW,2000,El Rosario,30.0595,115.7258
480XP,2000,El Rosario,30.0595,115.7258
481HN,2000,El Rosario,30.0595,115.7258
484NW,2000,El Rosario,30.0595,115.7258
485RS,2000,El Rosario,30.0595,115.7258
486KF,2000,El Rosario,30.0595,115.7258
486YM,2000,El Rosario,30.0595,115.7258
488XS,2000,El Rosario,30.0595,115.7258
489RW,2000,El Rosario,30.0595,115.7258
491PO,2000,El Rosario,30.0595,115.7258
495JK,2000,El Rosario,30.0595,115.7258
500KU,2000,El Rosario,30.0595,115.7258
507WF,2000,El Rosario,30.0595,115.7258
508NA,2000,El Rosario,30.0595,115.7258
513FZ,2000,El Rosario,30.0595,115.7258
514WN,2000,El Rosario,30.0595,115.7258
