Tag Code,Report Season,Location,latitude,longitude
001KR,1999,El Rosario,30.0595,115.7258
004JY,1999,El Rosario,30.0595,115.7258
006HO,1999,El Rosario,30.0595,115.7258
006JM,1999,El Rosario,30.0595,115.7258
006MM,1999,El Rosario,30.0595,115.7258
007GO,1999,El Rosario,30.0595,115.7258
008JB,1999,El Rosario,30.0595,115.7258
008JJ,1999,El Rosario,30.0595,115.7258
009MM,1999,El Rosario,30.0595,115.7258
009NH,1999,El Rosario,30.0595,115.7258
013IH,1999,El Rosario,30.0595,115.7258
015MH,1999,El Rosario,30.0595,115.7258
016JU,1999,El Rosario,30.0595,115.7258
019HL,1999,El Rosario,30.0595,115.7258
020MQ,1999,El Rosario,30.0595,115.7258
021MM,1999,El Rosario,30.0595,115.7258
022IO,1999,El Rosario,30.0595,115.7258
023IH,1999,El Rosario,30.0595,115.7258
026JN,1999,El Rosario,30.0595,115.7258
027IS,1999,El Rosario,30.0595,115.7258
027JM,1999,El Rosario,30.0595,115.7258
030ML,1999,El Rosario,30.0595,115.7258
030NW,1999,El Rosario,30.0595,115.7258
030OZ,1999,El Rosario,30.0595,115.7258
031JI,1999,El Rosario,30.0595,115.7258
032MY,1999,El Rosario,30.0595,115.7258
036GJ,1999,El Rosario,30.0595,115.7258
036JI,1999,El Rosario,30.0595,115.7258
037KL,1999,El Rosario,30.0595,115.7258
038ML,1999,El Rosario,30.0595,115.7258
040FI,1999,El Rosario,30.0595,115.7258
041IH,1999,El Rosario,30.0595,115.7258
041IO,1999,El Rosario,30.0595,115.7258
043HS,1999,El Rosario,30.0595,115.7258
044IK,1999,El Rosario,30.0595,115.7258
044KO,1999,El Rosario,30.0595,115.7258
045IS,1999,El Rosario,30.0595,115.7258
045MK,1999,El Rosario,30.0595,115.7258
045NO,1999,El Rosario,30.0595,115.7258
047KM,1999,El Rosario,30.0595,115.7258
049HH,1999,El Rosario,30.0595,115.7258
051IA,1999,El Rosario,30.0595,115.7258
051IK,1999,El Rosario,30.0595,115.7258
052IO,1999,El Rosario,30.0595,115.7258
053IO,1999,El Rosario,30.0595,115.7258
055ML,1999,El Rosario,30.0595,115.7258
056IH,1999,El Rosario,30.0595,115.7258
056LF,1999,El Rosario,30.0595,115.7258
056NO,1999,El Rosario,30.0595,115.7258
058JM,1999,El Rosario,30.0595,115.7258
058NH,1999,El Rosario,30.0595,115.7258
063NH,1999,El Rosario,30.0595,115.7258
064JY,1999,El Rosario,30.0595,115.7258
065OJ,1999,El Rosario,30.0595,115.7258
066JB,1999,El Rosario,30.0595,115.7258
066LQ,1999,El Rosario,30.0595,115.7258
067FZ,1999,El Rosario,30.0595,115.7258
067JS,1999,El Rosario,30.0595,115.7258
069IK,1999,El Rosario,30.0595,115.7258
071HP,1999,El Rosario,30.0595,115.7258
072JN,1999,El Rosario,30.0595,115.7258
075NO,1999,El Rosario,30.0595,115.7258
077IK,1999,El Rosario,30.0595,115.7258
085FC,1999,El Rosario,30.0595,115.7258
085HL,1999,El Rosario,30.0595,115.7258
085JI,1999,El Rosario,30.0595,115.7258
092JM,1999,El Rosario,30.0595,115.7258
094HM,1999,El Rosario,30.0595,115.7258
097IH,1999,El Rosario,30.0595,115.7258
097KD,1999,El Rosario,30.0595,115.7258
098IK,1999,El Rosario,30.0595,115.7258
098OJ,1999,El Rosario,30.0595,115.7258
099JS,1999,El Rosario,30.0595,115.7258
099MQ,1999,El Rosario,30.0595,115.7258
099NS,1999,El Rosario,30.0595,115.7258
101HB,1999,El Rosario,30.0595,115.7258
102FS,1999,El Rosario,30.0595,115.7258
103IS,1999,El Rosario,30.0595,115.7258
104NU,1999,El Rosario,30.0595,115.7258
108LI,1999,El Rosario,30.0595,115.7258
109MC,1999,El Rosario,30.0595,115.7258
110FD,1999,El Rosario,30.0595,115.7258
110HX,1999,El Rosario,30.0595,115.7258
111OT,1999,El Rosario,30.0595,115.7258
114NU,1999,El Rosario,30.0595,115.7258
115NC,1999,El Rosario,30.0595,115.7258
117JG,1999,El Rosario,30.0595,115.7258
120LS,1999,El Rosario,30.0595,115.7258
121JW,1999,El Rosario,30.0595,115.7258
121MN,1999,El Rosario,30.0595,115.7258
122FC,1999,El Rosario,30.0595,115.7258
124HX,1999,El Rosario,30.0595,115.7258
124JD,1999,El Rosario,30.0595,115.7258
125JI,1999,El Rosario,30.0595,115.7258
