Tag Code,Report Season,Location,latitude,longitude
361GI,2017,El Rosario,30.0595,115.7258
771WA,2017,El Rosario,30.0595,115.7258
BHO063,2017,El Rosario,30.0595,115.7258
NGB282,2017,El Rosario,30.0595,115.7258
PT020,2017,El Rosario,30.0595,115.7258
RCU102,2017,El Rosario,30.0595,115.7258
RLG036,2017,El Rosario,30.0595,115.7258
RLJ494,2017,El Rosario,30.0595,115.7258
RNC710,2017,El Rosario,30.0595,115.7258
SBA850,2017,El Rosario,30.0595,115.7258
SCC005,2017,El Rosario,30.0595,115.7258
SMX627,2017,El Rosario,30.0595,115.7258
SPC810,2017,El Rosario,30.0595,115.7258
SPL161,2017,El Rosario,30.0595,115.7258
SPL385,2017,El Rosario,30.0595,115.7258
SPM562,2017,El Rosario,30.0595,115.7258
SPN646,2017,El Rosario,30.0595,115.7258
SPT176,2017,El Rosario,30.0595,115.7258
SPU925,2017,El Rosario,30.0595,115.7258
SPW193,2017,El Rosario,30.0595,115.7258
SPW210,2017,El Rosario,30.0595,115.7258
SPW252,2017,El Rosario,30.0595,115.7258
SPW611,2017,El Rosario,30.0595,115.7258
SPY648,2017,El Rosario,30.0595,115.7258
SPY659,2017,El Rosario,30.0595,115.7258
TCU890,2017,El Rosario,30.0595,115.7258
TER267,2017,El Rosario,30.0595,115.7258
THH585,2017,El Rosario,30.0595,115.7258
THH806,2017,El Rosario,30.0595,115.7258
THJ170,2017,El Rosario,30.0595,115.7258
TMZ599,2017,El Rosario,30.0595,115.7258
TMZ682,2017,El Rosario,30.0595,115.7258
TNL489,2017,El Rosario,30.0595,115.7258
TPA220,2017,El Rosario,30.0595,115.7258
TPE894,2017,El Rosario,30.0595,115.7258
TR279,2017,El Rosario,30.0595,115.7258
UBC440,2017,El Rosario,30.0595,115.7258
UBC487,2017,El Rosario,30.0595,115.7258
UBU175,2017,El Rosario,30.0595,115.7258
UBU276,2017,El Rosario,30.0595,115.7258
UCS993,2017,El Rosario,30.0595,115.7258
UCW583,2017,El Rosario,30.0595,115.7258
UCZ851,2017,El Rosario,30.0595,115.7258
UEL373,2017,El Rosario,30.0595,115.7258
UEP110,2017,El Rosario,30.0595,115.7258
UEP741,2017,El Rosario,30.0595,115.7258
UGG095,2017,El Rosario,30.0595,115.7258
UGG966,2017,El Rosario,30.0595,115.7258
UGH806,2017,El Rosario,30.0595,115.7258
UGP090,2017,El Rosario,30.0595,115.7258
UGP567,2017,El Rosario,30.0595,115.7258
UGS324,2017,El Rosario,30.0595,115.7258
UGZ271,2017,El Rosario,30.0595,115.7258
UHL841,2017,El Rosario,30.0595,115.7258
UHP376,2017,El Rosario,30.0595,115.7258
UHY901,2017,El Rosario,30.0595,115.7258
UJN148,2017,El Rosario,30.0595,115.7258
UJR455,2017,El Rosario,30.0595,115.7258
UJS953,2017,El Rosario,30.0595,115.7258
ULC525,2017,El Rosario,30.0595,115.7258
ULP632,2017,El Rosario,30.0595,115.7258
ULU400,2017,El Rosario,30.0595,115.7258
ULX922,2017,El Rosario,30.0595,115.7258
UMB841,2017,El Rosario,30.0595,115.7258
UMN806,2017,El Rosario,30.0595,115.7258
UMZ366,2017,El Rosario,30.0595,115.7258
UPA261,2017,El Rosario,30.0595,115.7258
UPN564,2017,El Rosario,30.0595,115.7258
WBS002,2017,El Rosario,30.0595,115.7258
WCM113,2017,El Rosario,30.0595,115.7258
WCY547,2017,El Rosario,30.0595,115.7258
WEE984,2017,El Rosario,30.0595,115.7258
WEU506,2017,El Rosario,30.0595,115.7258
WEY008,2017,El Rosario,30.0595,115.7258
WGA085,2017,El Rosario,30.0595,115.7258
WGA779,2017,El Rosario,30.0595,115.7258
WGW642,2017,El Rosario,30.0595,115.7258
WHA233,2017,El Rosario,30.0595,115.7258
WHE777,2017,El Rosario,30.0595,115.7258
WHR413,2017,El Rosario,30.0595,115.7258
WJY773,2017,El Rosario,30.0595,115.7258
WJY858,2017,El Rosario,30.0595,115.7258
WJZ421,2017,El Rosario,30.0595,115.7258
WLR109,2017,El Rosario,30.0595,115.7258
WLU074,2017,El Rosario,30.0595,115.7258
WLU091,2017,El Rosario,30.0595,115.7258
WLU112,2017,El Rosario,30.0595,115.7258
